"Início dos relatórios","Encerramento dos relatórios","Nome do conjunto de anúncios","Veiculação do conjunto de anúncios",Início,"Data da última edição",Término,Resultados,"Indicador de resultados","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,Alcance,Frequência,"Cliques no link únicos","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","CPM (custo por 1.000 impressões) (BRL)","Visualizações da página de destino"
2026-07-01,2026-07-21,"CJ 01 [INTERESSES] [30KM] [ CURITIBA]",not_delivering,2024-08-29,2026-03-19,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 01 [Interesses] [19-65 anos] [40km+]",not_delivering,2025-04-23,2026-03-24,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Cj 01- [Interesses] [19-65] [40km+]",not_delivering,2025-04-24,2026-04-20,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Cj 01 - [Interesses - Marcas] [19-44] [40km+]",not_delivering,2025-05-02,2026-04-09,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 01 [Interesses-Marcas] [19-65 anos] [40km+]",not_delivering,2025-05-05,2025-08-15,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 02 [Interesses] [19-65 anos] [40km+]",not_delivering,2025-05-05,2025-08-15,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 02 [Interesses] [19-65] [ 40km+]",not_delivering,2025-05-05,2025-08-15,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"CJ 01-  [Interesses - Marcas] [19-65] [40km+]",not_delivering,2025-05-05,2025-09-23,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Cj 02 [Interesses] [19-65] [40km+]",not_delivering,2025-05-27,2026-02-16,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
2026-07-01,2026-07-21,"Cj 01 [Interesses -Marcas] [19-65] [40km+]",not_delivering,2025-06-05,2026-02-15,Contínuo,,,,"Usando orçamento da campanha",0,0,0,0,0,,,,0,
