Relatório de campanha
1 de janeiro de 2026 - 30 de junho de 2026
Mês,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Status,Motivos do status,ID da campanha,Tipo de campanha,CPM médio,Impr.,Interações,Taxa de interação,Custo médio,Custo,CTR,CPC méd.,Pontuação de otimização,Tipo de estratégia de lances,Cliques,Taxa de conv.,Conversões,Custo / conv.,Parcela impr rede de pesquisa,Parc impr perd rede de pesquisa (orç),Taxa de rejeição (UA (Universal Analytics na sigla em inglês)),Duração média da sessão (segundos) (UA (Universal Analytics na sigla em inglês)),% de sessões novas (UA (Universal Analytics na sigla em inglês)),% de sessões engajadas (GA4),Eventos / sessão (GA4),Páginas / sessão (UA (Universal Analytics na sigla em inglês))
janeiro de 2026,Pausada,[ Pesquisa - Tráfego site],"480,00", --,Diário,BRL,Pausado,campanha pausada,23455370385,Pesquisa,"73,97",114.580,11.510,"10,05%","0,74","8474,92","10,05%","0,74", --,Maximizar as conversões,11.510,"7,35%","845,73","10,02",< 10%,"7,09%", --,0, --,"81,28%","16,53",0
fevereiro de 2026,Pausada,[ Pesquisa - Tráfego site],"480,00", --,Diário,BRL,Pausado,campanha pausada,23455370385,Pesquisa,"75,73",67.868,7.219,"10,64%","0,71","5139,65","10,64%","0,71", --,Maximizar as conversões,7.219,"7,51%","542,42","9,48",< 10%,"2,46%", --,0, --,"75,05%","14,68",0
março de 2026,Pausada,[ Pesquisa - Tráfego site],"480,00", --,Diário,BRL,Pausado,campanha pausada,23455370385,Pesquisa,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --,"79,87%","25,18",0
abril de 2026,Pausada,[ Pesquisa - Tráfego site],"480,00", --,Diário,BRL,Pausado,campanha pausada,23455370385,Pesquisa,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --,"75,64%","24,68",0
maio de 2026,Pausada,[ Pesquisa - Tráfego site],"480,00", --,Diário,BRL,Pausado,campanha pausada,23455370385,Pesquisa,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --,"88,89%","23,44",0
junho de 2026,Pausada,[ Pesquisa - Tráfego site],"480,00", --,Diário,BRL,Pausado,campanha pausada,23455370385,Pesquisa,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
janeiro de 2026,Pausada,Pesquisa  - Lojas,"420,00", --,Diário,BRL,Pausado,campanha pausada,22666461989,Pesquisa,0,0,0, --,0,"0,00", --,0, --,Maximizar conversões (CPA desejado),0,"0,00%","0,00","0,00", --, --, --,0, --,"77,44%","20,51",0
fevereiro de 2026,Pausada,Pesquisa  - Lojas,"420,00", --,Diário,BRL,Pausado,campanha pausada,22666461989,Pesquisa,0,0,0, --,0,"0,00", --,0, --,Maximizar conversões (CPA desejado),0,"0,00%","0,00","0,00", --, --, --,0, --,"87,50%","28,75",0
março de 2026,Pausada,Pesquisa  - Lojas,"420,00", --,Diário,BRL,Pausado,campanha pausada,22666461989,Pesquisa,0,0,0, --,0,"0,00", --,0, --,Maximizar conversões (CPA desejado),0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
abril de 2026,Pausada,Pesquisa  - Lojas,"420,00", --,Diário,BRL,Pausado,campanha pausada,22666461989,Pesquisa,0,0,0, --,0,"0,00", --,0, --,Maximizar conversões (CPA desejado),0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
