Relatório de campanha
1 de julho de 2026 - 21 de julho de 2026
Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Status,Motivos do status,ID da campanha,Tipo de campanha,CPM médio,Impr.,Interações,Taxa de interação,Custo médio,Custo,CTR,CPC méd.,Pontuação de otimização,Tipo de estratégia de lances,Cliques,Taxa de conv.,Conversões,Custo / conv.,Parcela impr rede de pesquisa,Parc impr perd rede de pesquisa (orç),Taxa de rejeição (UA (Universal Analytics na sigla em inglês)),Duração média da sessão (segundos) (UA (Universal Analytics na sigla em inglês)),% de sessões novas (UA (Universal Analytics na sigla em inglês)),% de sessões engajadas (GA4),Eventos / sessão (GA4),Páginas / sessão (UA (Universal Analytics na sigla em inglês))
Pausada,[L3FT] SCH_Brand,"93,47", --,Diário,BRL,Pausado,campanha pausada; campanha finalizada,224581703,Pesquisa,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Pausada,Feirão - Final de Semana - Pesquisa,"450,00",Feirão - Pesquisa,Diário,BRL,Pausado,campanha pausada; campanha finalizada,1643600077,Pesquisa,0,0,0, --,0,"0,00", --,0, --,Maximizar cliques,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Pausada,[L3FT] PMax_Feirão #3,"50,00", --,Diário,BRL,Pausado,campanha pausada; campanha finalizada; Nenhum grupo de recursos,20294749608,Performance Max,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Pausada,Feirão - Carro Novo Já,"130,00",Feirão - Display,Diário,BRL,Pausado,campanha pausada; campanha finalizada,8967748313,Display,0,0,0, --,0,"0,00", --,0, --,CPC (otimizado),0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Removida,1,"9,53", --,Diário,BRL,Removido,campanha removida,1003734158,Inteligente,0,0,0, --,0,"0,00", --,0, --,Maximizar cliques,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Ativada,[L3FT] SCH_Concorrentes,"129,67", --,Diário,BRL,Encerrado,campanha finalizada; alguns anúncios foram reprovados,12035061052,Pesquisa,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Ativada,[L3FT] PMax_Feirão,"214,29", --,Diário,BRL,Encerrado,campanha finalizada,19149360199,Performance Max,0,0,0, --,0,"0,00", --,0, --,Maximizar as conversões,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Pausada,[Display] Semana do Brasil Autoshop,"100,00", --,Diário,BRL,Pausado,campanha pausada; campanha finalizada,11025816398,Display,0,0,0, --,0,"0,00", --,0, --,CPM visível,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Removida,Feirão - Final de Semana - Gráfico,"250,00", --,Diário,BRL,Removido,campanha removida; campanha finalizada,1644014637,Display,0,0,0, --,0,"0,00", --,0, --,Maximizar cliques,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Pausada,Feirão carro novo Já,"100,00", --,Diário,BRL,Pausado,campanha pausada; Todos os anúncios estão pausados; a maioria dos anúncios foi reprovada,8997365402,Pesquisa,0,0,0, --,0,"0,00", --,0, --,CPC (otimizado),0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Pausada,[Display] - Shopito Slogan,"40,00", --,Diário,BRL,Pausado,campanha pausada,877268859,Display,0,0,0, --,0,"0,00", --,0, --,Maximizar cliques,0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Pausada,Pesquisa  - Lojas,"420,00", --,Diário,BRL,Pausado,campanha pausada,22666461989,Pesquisa,0,0,0, --,0,"0,00", --,0, --,Maximizar conversões (CPA desejado),0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
Pausada,[L3FT] SCH_Geral_Carros_Seminovos,"76,67", --,Diário,BRL,Pausado,campanha pausada; Todos os grupos de anúncios estão pausados; a maioria dos anúncios foi reprovada,9154780042,Pesquisa,0,0,0, --,0,"0,00", --,0, --,Maximizar conversões (CPA desejado),0,"0,00%","0,00","0,00", --, --, --,0, --, --,0,0
