Relatório de campanha
1 de janeiro de 2026 - 30 de junho de 2026
Mês,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Status,Motivos do status,ID da campanha,Tipo de campanha,Tipo de estratégia de lances,Custo,Impr.,Cliques,Conversões,Taxa de conv.,Valor conv.,Valor conv. / custo,CPC méd.,Custo / conv.,CTR,CPM médio,Parcela impr rede de pesquisa,Parc impr perd rede de pesquisa (orç),% de sessões engajadas (GA4),Eventos / sessão (GA4),Freq. méd. impr. / usuário,Usuários exclusivos
janeiro de 2026,Ativada,CA [Pesquisa] [Lojas],"70,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,22564654037,Pesquisa,Maximizar o valor da conversão,"9349,98",29.394,1.628,"63,85","3,92%","61,85","0,01","5,74","146,43","5,54%","318,09","36,65%","23,30%","44,26%","8,95",,
fevereiro de 2026,Ativada,CA [Pesquisa] [Lojas],"70,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,22564654037,Pesquisa,Maximizar o valor da conversão,"9261,15",31.595,1.729,"68,22","3,95%","65,22","0,01","5,36","135,75","5,47%","293,12","33,28%","20,27%","52,83%","4,57",,
março de 2026,Ativada,CA [Pesquisa] [Lojas],"70,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,22564654037,Pesquisa,Maximizar o valor da conversão,"5615,56",17.535,941,"34,00","3,61%","34,00","0,01","5,97","165,16","5,37%","320,25","31,70%","29,97%","55,00%","4,25",,
abril de 2026,Ativada,CA [Pesquisa] [Lojas],"70,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,22564654037,Pesquisa,Maximizar o valor da conversão,"10232,35",29.331,1.641,"76,83","4,68%","75,83","0,01","6,24","133,18","5,59%","348,86","41,98%","27,19%","30,61%","3,98",,
maio de 2026,Ativada,CA [Pesquisa] [Lojas],"70,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,22564654037,Pesquisa,Maximizar o valor da conversão,"5761,74",19.374,1.515,"70,12","4,63%","70,12","0,01","3,80","82,17","7,82%","297,40","34,71%","20,33%","51,28%","5,19",,
junho de 2026,Ativada,CA [Pesquisa] [Lojas],"70,00", --,Diário,BRL,Qualificado (limitado),limitado pelo orçamento,22564654037,Pesquisa,Maximizar o valor da conversão,"4571,27",15.196,1.112,"59,58","5,36%","58,58","0,01","4,11","76,73","7,32%","300,82","35,46%","16,94%","46,97%","4,89",,
janeiro de 2026,Pausada,CA [Pesquisa] [Institucional],"240,00", --,Diário,BRL,Pausado,campanha pausada,22450910105,Pesquisa,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
fevereiro de 2026,Pausada,CA [Pesquisa] [Institucional],"240,00", --,Diário,BRL,Pausado,campanha pausada,22450910105,Pesquisa,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
março de 2026,Pausada,CA [Pesquisa] [Institucional],"240,00", --,Diário,BRL,Pausado,campanha pausada,22450910105,Pesquisa,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
abril de 2026,Pausada,CA [Pesquisa] [Institucional],"240,00", --,Diário,BRL,Pausado,campanha pausada,22450910105,Pesquisa,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
