Relatório de campanha
1 de julho de 2026 - 21 de julho de 2026
Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Status,Motivos do status,ID da campanha,Tipo de campanha,Tipo de estratégia de lances,Custo,Impr.,Cliques,Conversões,Taxa de conv.,Valor conv.,Valor conv. / custo,CPC méd.,Custo / conv.,CTR,CPM médio,Parcela impr rede de pesquisa,Parc impr perd rede de pesquisa (orç),% de sessões engajadas (GA4),Eventos / sessão (GA4),Freq. méd. impr. / usuário,Usuários exclusivos
Pausada,CINEMA PREÇO ÚNICO 10 REAIS_OK,"40,55", --,Diário,BRL,Pausado,campanha pausada,9543684935,Vídeo,CPV máximo,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
Pausada,COLETE MASCULINO OFL,"84,00", --,Diário,BRL,Pausado,campanha pausada; campanha finalizada,836697597,Display,CPM visível,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
Pausada,CA [Pesquisa] [Institucional],"240,00", --,Diário,BRL,Pausado,campanha pausada,22450910105,Pesquisa,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
Removida,{DIS} OFERTAS DE 25 a 31/07,"80,00", --,Diário,BRL,Removido,campanha removida,2075709736,Display,Maximizar as conversões,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
Pausada,{DIS} CINE DEIZÃO 2019,"160,00", --,Diário,BRL,Pausado,campanha pausada,1683998152,Display,Maximizar cliques,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
Pausada,[Pesquisa] [Leads] [Lojas] 05.02,"160,00", --,Diário,BRL,Pausado,campanha pausada; a maioria dos anúncios foi reprovada; a extensão de formulário de lead foi reprovada,20991384393,Pesquisa,Maximizar o valor da conversão,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
Pausada,TENIS ZEUS FAMILY,"64,00", --,Diário,BRL,Pausado,campanha pausada; campanha finalizada,929692470,Display,Maximizar cliques,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
Pausada,BOLSA + CARTEIRA SOYLA,"110,00", --,Diário,BRL,Pausado,campanha pausada; campanha finalizada,843525576,Display,Maximizar cliques,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
Pausada,IN STREAM_LIQUIDAÇÕES,"142,85", --,Diário,BRL,Pausado,campanha pausada; campanha finalizada,9523930988,Vídeo,CPV máximo,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
Pausada,BODY PERSONAGENS,"62,50", --,Diário,BRL,Pausado,campanha pausada,1051210256,Display,Maximizar cliques,"0,00",0,0,"0,00","0,00%","0,00","0,00",0,"0,00", --,0, --, --, --,0,,
