"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha",Resultados,"Indicador de resultados","Custo por resultados","Valor usado (BRL)","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios",Alcance,Frequência,Impressões,"Cliques no link","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","CPM (custo por 1.000 impressões) (BRL)","Visualizações da página de destino","Visitas ao perfil do Instagram","Seguidores no Instagram","Cliques em Como chegar",Início,Término,"Data da última edição"
2026-07-01,2026-07-24,"[B2B]CA [Comercial] [Formulário]",active,132,actions:leadgen.other,35.0530303,4627,200,Diário,71805,3.207743,230332,1650,0.716357,2.804242,20.088394,3,373,18,,2025-10-28,Contínuo,2026-06-18
2026-07-01,2026-07-24,"CA [TRÁFEGO REDES SOCIAIS]",inactive,8869,total_profile_visits,0.22974743,2037.63,320,Diário,138591,1.527545,211704,7219,3.40995,0.282259,9.624901,10,2833,135,,2026-03-04,Contínuo,2026-07-07
2026-07-01,2026-07-24,"CA Maratoninha [Trafego site inscrição]",inactive,,,,0,40,Diário,0,0,0,,,,0,,0,0,,2026-03-11,Contínuo,2026-06-25
2026-07-01,2026-07-24,"[GP][TRÁFEGO][Ofertas 27/05-02/06][Tráfego redes sociais]",inactive,,,,0,200,Diário,0,0,0,,,,0,,0,0,,2026-05-27,Contínuo,2026-06-03
2026-07-01,2026-07-24,"Post do Instagram: ✨ Seu projeto dos sonhos...",inactive,60,profile_visit_view,0.61183333,36.71,6,Diário,6572,1.184267,7783,58,0.745214,0.632931,4.71669,,60,1,,2026-06-05,2026-07-07,2026-07-07
2026-07-01,2026-07-24,"Post do Instagram: Se você ja está na contagem...",inactive,,,,0,7,Diário,0,0,0,,,,0,,0,0,,2026-06-05,2026-06-15,2026-07-07
2026-07-01,2026-07-24,"Post do Instagram: Dia dos namorados chegando e...",inactive,,,,0,20,Diário,0,0,0,,,,0,,0,0,,2026-06-10,2026-06-12,2026-07-07
2026-07-01,2026-07-24,"Post do Instagram: Chegou Mercadão dos Celulares...",inactive,346,profile_visit_view,0.18763006,64.92,7,Diário,5671,1.18815,6738,350,5.19442,0.185486,9.634907,1,346,42,,2026-06-10,2026-07-10,2026-07-13
2026-07-01,2026-07-24,"Post do Instagram: Mais que assistir, aqui você...",inactive,,,,0,10,Diário,0,0,0,,,,0,,0,0,,2026-06-10,2026-06-23,2026-06-19
2026-07-01,2026-07-24,"Post do Instagram: O Festival de Inverno chegou...",inactive,,,,0,10,Diário,0,0,0,,,,0,,0,0,,2026-06-11,2026-06-16,2026-07-07
2026-07-01,2026-07-24,"Post do Instagram: Esta faltando figurinha aí? 👀...",inactive,,,,0,10,Diário,0,0,0,,,,0,,0,0,,2026-06-12,2026-06-13,2026-07-07
2026-07-01,2026-07-24,"Post do Instagram: ✨ Beleza, autoestima e cuidado...",completed,252,profile_visit_view,0.56642857,142.74,10,Diário,9436,1.262823,11916,265,2.223901,0.538642,11.978852,5,252,19,,2026-06-15,2026-07-15,2026-06-19
2026-07-01,2026-07-24,"Post do Instagram: Vem aí o Arraiá do Cidade! 🤠🌽...",inactive,,,,0,15,Diário,0,0,0,,,,0,,0,0,,2026-06-16,2026-06-27,2026-07-01
2026-07-01,2026-07-24,"Post do Instagram: A Sol Kids chegou para...",completed,220,profile_visit_view,0.48781818,107.32,7,Diário,4644,1.309432,6081,219,3.601381,0.490046,17.648413,1,220,32,,2026-06-16,2026-07-16,2026-06-16
2026-07-01,2026-07-24,"Post do Instagram: O Festival de Inverno está...",inactive,,,,0,10,Diário,0,0,0,,,,0,,0,0,,2026-06-18,2026-06-24,2026-07-07
2026-07-01,2026-07-24,"Post do Instagram: Atenção, colecionadores 🎮✨

A...",inactive,,,,0,15,Diário,0,0,0,,,,0,,0,0,,2026-06-18,2026-06-21,2026-07-07
2026-07-01,2026-07-24,"Post do Instagram: São os últimos dias do Circo...",inactive,,,,0,10,Diário,0,0,0,,,,0,,0,0,,2026-06-19,2026-06-28,2026-07-07
2026-07-01,2026-07-24,"Post do Instagram: Descontos Imperdíveis? Temos!🔥...",inactive,,,,0,10,Diário,0,0,0,,,,0,,0,0,,2026-06-19,2026-06-24,2026-06-25
2026-07-01,2026-07-24,"[Tráfego][IG][Ofertas 24-30/06]",inactive,,,,0,100,Diário,0,0,0,,,,0,,0,0,,2026-06-25,2026-06-30,2026-07-01
2026-07-01,2026-07-24,"Post do Instagram: Chegou a De Meninas no seu...",recently_completed,542,profile_visit_view,0.4101845,222.32,10,Diário,9802,1.374107,13469,546,4.053753,0.407179,16.506051,2,542,88,,2026-06-24,2026-07-23,2026-06-24
2026-07-01,2026-07-24,"Post do Instagram: Compre e concorra a um Iphone...",active,268,profile_visit_view,0.83970149,225.04,10,Diário,23016,1.421794,32724,260,0.794524,0.865538,6.87691,,268,20,,2026-06-24,2026-07-24,2026-06-24
2026-07-01,2026-07-24,"Post do Instagram: Começou o Arraiá do Cidade! 🪅...",inactive,,,,0,30,Diário,0,0,0,,,,0,,0,0,,2026-06-25,2026-06-28,2026-07-07
2026-07-01,2026-07-24,"Post do Instagram: Vai ter emoção em campo e no...",inactive,,,,0,25,Diário,0,0,0,,,,0,,0,0,,2026-06-26,2026-06-29,2026-06-29
