"Início dos relatórios","Encerramento dos relatórios","Nome do conjunto de anúncios","Veiculação do conjunto de anúncios",Início,Término,"Data da última edição",Resultados,"Indicador de resultados","Custo por resultados","Valor usado (BRL)","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios",Alcance,Frequência,Impressões,"Cliques no link","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","CPM (custo por 1.000 impressões) (BRL)","Visualizações da página de destino","Visitas ao perfil do Instagram","Seguidores no Instagram","Cliques em Como chegar"
2026-07-01,2026-07-21,"CJ 01 [Interesses - Negócios Locais] [25+ - Curitiba 40km]",active,2025-10-28,Contínuo,2026-05-19,3,actions:leadgen.other,38.76333333,116.29,"Usando orçamento da campanha",0,1716,1.981935,3401,16,0.47045,7.268125,34.192884,,10,0,
2026-07-01,2026-07-21,"CJ 01 [Interesses] [40 KM] [18+]",archived,2026-03-04,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 01 [INTERESSES - CORRIDA]",not_delivering,2026-03-11,Contínuo,2026-05-20,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 02 [INTERESSES - CORRIDA] — ADVANTAGE",not_delivering,2026-03-11,Contínuo,2026-05-20,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 02 - [remarketing] [40 KM] [18+]",archived,2026-03-31,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 03 - [Advantage ] [40 KM] [18+]",archived,2026-04-01,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 04 [LL 2% 90 D ] [40KM] 18+",archived,2026-04-01,Contínuo,2026-07-06,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 02 [LL 3% Comercial] [25+ - Curitiba 40km]",inactive,2026-05-19,Contínuo,2026-06-19,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 03 [LL1 % FORMULÁRIOl] [25+ - Curitiba 40km]",inactive,2026-05-19,Contínuo,2026-06-19,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 04 [LL1 %  VView 10 sg - comercial] [25+ - Curitiba 40km]",active,2026-05-19,Contínuo,2026-06-19,2,actions:leadgen.other,33.875,67.75,"Usando orçamento da campanha",0,1753,1.836851,3220,27,0.838509,2.509259,21.040373,,13,0,
2026-07-01,2026-07-21,"CJ 0 [VView 10 sg - comercial] [25+ - Curitiba 40km]",active,2026-05-19,Contínuo,2026-05-19,116,actions:leadgen.other,33.26172414,3858.36,"Usando orçamento da campanha",0,64718,2.97313,192415,1396,0.725515,2.763868,20.052283,3,300,15,
2026-07-01,2026-07-21,"CJ03 [remarketing - redes sociais - 90D]",not_delivering,2026-05-20,Contínuo,2026-05-20,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ04 [LL 1% 90D]",not_delivering,2026-05-20,Contínuo,2026-05-20,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"[CJ03][20KM][RMKT REDES SOCIAIS 180D][25-45]",not_delivering,2026-05-27,Contínuo,2026-05-27,,,,0,"Usando orçamento da campanha",0,0,0,0,,,,0,,0,0,
2026-07-01,2026-07-21,"CJ 01 [Interesses] [40 KM] [18+] — Cópia",not_delivering,2026-06-03,Contínuo,2026-06-03,2171,total_profile_visits,0.23669737,513.87,"Usando orçamento da campanha",0,38922,1.329402,51743,1671,3.229422,0.307522,9.931198,4,313,37,
2026-07-01,2026-07-21,"CJ 02 - [remarketing] [40 KM] [18+] — Cópia",not_delivering,2026-06-03,Contínuo,2026-06-03,1217,total_profile_visits,0.25700082,312.77,"Usando orçamento da campanha",0,23495,1.16727,27425,943,3.438469,0.331676,11.404558,1,121,15,
2026-07-01,2026-07-21,"CJ 03 - [Advantage ] [40 KM] [18+] — Cópia",not_delivering,2026-06-03,Contínuo,2026-06-03,3401,total_profile_visits,0.26332549,895.57,"Usando orçamento da campanha",0,80327,1.350828,108508,2619,2.413647,0.341951,8.253493,3,763,72,
