Relatório de palavras-chave da rede de pesquisa
1 de junho de 2026 - 30 de junho de 2026
Status da palavra-chave,Palavra-chave,Tipo de corresp.,Status,Motivos do status,Conversões,Código da moeda,Custo / conv.,URL final,Cliques,Impr.,CTR,CPC méd.,Custo,Taxa de conv.
Ativado,yerba mate extract benefits,Correspondência ampla,Qualificado,,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,yerba mate extrakt,Correspondência ampla,Qualificado,,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,green mate leaf extract,Correspondência ampla,Qualificado,,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""natural yerba mate extract""",Correspondência de frase,Qualificado,,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,botanical extract powder,Correspondência ampla,Limitado,baixa qualidade,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,yerba mate extract caffeine,Correspondência ampla,Qualificado,,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,liquid botanical extract,Correspondência ampla,Limitado,baixa qualidade,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,antioxidant liquid extract,Correspondência ampla,Qualificado,,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,natural extract for beverages,Correspondência ampla,Qualificado,,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,mate extract,Correspondência ampla,Qualificado,,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,yerba mate tincture,Correspondência ampla,Qualificado,,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,yerba mate ingredient,Correspondência ampla,Qualificado,,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,green mate leaf extract powder,Correspondência ampla,Qualificado,,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,yerba mate extract powder,Correspondência ampla,Qualificado,,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,yerba mate liquid extract,Correspondência ampla,Qualificado,,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""plant extract for functional beverages""",Correspondência de frase,Não qualificado,raramente exibido,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,yerba mate leaf extract,Correspondência ampla,Qualificado,,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,"""liquid botanical extract""",Correspondência de frase,Limitado,baixa qualidade,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,natural antioxidant powder,Correspondência ampla,Qualificado,,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,mate leaf extract,Correspondência ampla,Qualificado,,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
Ativado,yerba extract,Correspondência ampla,Qualificado,,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
 --,,"Total: Todas as palavras-chave, exceto as removidas", --,,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
,,Total: Palavras-chave no seu grupo de anúncios,,,"0,00",BRL,"0,00",,0,2,"0,00%",0,"0,00","0,00%"
,,Total: Suas palavras-chave,,,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
,,Total: Correspondências expandidas da AI Max,,,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
,,Total: Correspondências de páginas de destino da AI Max,,,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
,,Total: Inclusões de URL no seu grupo de anúncios,,,"0,00",BRL,"0,00",,0,0, --,0,"0,00","0,00%"
,,Total: Pesquisar palavras-chave na Rede de Display,,,"0,00",BRL,"0,00",,0,2,"0,00%",0,"0,00","0,00%"
,,Total: Grupo de anúncios,,,"0,00",BRL,"0,00",,0,2,"0,00%",0,"0,00","0,00%"
