"Início dos relatórios","Encerramento dos relatórios","Nome da campanha",País,"Veiculação da campanha",Início,"Data da última edição",Resultados,"Indicador de resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)","Custo por resultados",Impressões,Alcance,Frequência,"Cliques no link","CTR (taxa de cliques no link)","CPC (custo por clique no link) (BRL)","CPM (custo por 1.000 impressões) (BRL)","Resultados (iniciais)","Indicador de resultados (inicial)"
2025-06-28,2026-06-27,"CA 01/26 [Cadastro] [Internacional]",US,active,2026-01-06,2026-05-21,26,actions:leadgen.other,50,Diário,3708.740067,142.64384872,13643,5977,2.282583,250,1.832442,14.83496,271.841975,,
2025-06-28,2026-06-27,"CA 09 [Tráfego] [Site]",US,inactive,2025-05-27,2026-01-05,1291,actions:link_click,"Usando o orçamento do conjunto de anúncios",0,1703.409939,1.31944999,68181,63913,1.066778,1291,1.893489,1.31945,24.983646,,
2025-06-28,2026-06-27,"CA 01/26 [Cadastro] [Internacional]",AE,active,2026-01-06,2026-05-21,14,actions:leadgen.other,50,Diário,1514.068006,108.14771468,14243,4484,3.176405,148,1.039107,10.230189,106.302605,,
2025-06-28,2026-06-27,"CA 01/26 [Cadastro] [Internacional]",CA,active,2026-01-06,2026-05-21,6,actions:leadgen.other,50,Diário,1114.212123,185.70202048,6617,2680,2.46903,104,1.571709,10.713578,168.386296,,
2025-06-28,2026-06-27,"CA 01/26 [Cadastro] [Internacional]",ES,active,2026-01-06,2026-05-21,3,actions:leadgen.other,50,Diário,835.454079,278.48469297,7602,3020,2.517219,77,1.012891,10.850053,109.899247,,
2025-06-28,2026-06-27,"CA 01/26 [Cadastro] [Internacional]",FR,active,2026-01-06,2026-05-21,4,actions:leadgen.other,50,Diário,496.242122,124.06053043,4532,1916,2.365344,47,1.03707,10.558343,109.497379,,
2025-06-28,2026-06-27,"CA 01/26 [Cadastro] [Internacional]",DE,active,2026-01-06,2026-05-21,2,actions:leadgen.other,50,Diário,350.802707,175.40135372,1716,648,2.648148,23,1.340326,15.252292,204.430482,,
2025-06-28,2026-06-27,"Post do Instagram: Olha essa novidade que chegou...",BR,inactive,2026-05-29,2026-06-17,,,15,Diário,284.42,,25894,16732,1.547574,1470,5.676991,0.193483,10.984012,,
2025-06-28,2026-06-27,"CA 01/26 [Cadastro] [Internacional]",JP,active,2026-01-06,2026-05-21,2,actions:leadgen.other,50,Diário,189.652276,94.82613809,1754,708,2.477401,25,1.425314,7.586091,108.125585,,
2025-06-28,2026-06-27,"CA 01/26 [Cadastro] [Internacional]",KR,active,2026-01-06,2026-05-21,1,actions:leadgen.other,50,Diário,133.178621,133.17862065,1410,476,2.962185,17,1.205674,7.834037,94.452922,,
2025-06-28,2026-06-27,"Post do Instagram: O Corta Preço é pra você que...",BR,completed,2026-06-05,2026-06-05,,,30,Diário,59.28,,3948,3534,1.117148,101,2.558257,0.586931,15.015198,,
2025-06-28,2026-06-27,"Post do Instagram: Chegou o Corta Preço no Seu...",BR,completed,2026-06-05,2026-06-05,,,30,Diário,59.16,,3712,3288,1.128954,112,3.017241,0.528214,15.9375,,
2025-06-28,2026-06-27,"Post do Instagram: Nesse feriado aquele momento...",BR,completed,2026-06-03,2026-06-03,,,20,Diário,19.7,,3189,2921,1.091749,19,0.595798,1.036842,6.177485,,
2025-06-28,2026-06-27,"CA 09 [Tráfego] [Site]",unknown,inactive,2025-05-27,2026-01-05,,,"Usando o orçamento do conjunto de anúncios",0,0.020061,,2,0,0,,,,10.030502,,
